"경찰서별(1)","소속별(1)",소속별(2),2018,2019,2020
"합계","합계",소계,22845,23462,24245
"합계","경찰청소속",소계,22845,23462,24245
"합계","경찰청소속",지방경찰청,2842,3311,3687
"합계","경찰청소속",경찰서,9813,9813,10096
"합계","경찰청소속",지구대파출소,10190,10338,10462
"남부경찰청","합계",소계,2024,2369,2542
"남부경찰청","경찰청소속",소계,2024,2369,2542
"남부경찰청","경찰청소속",지방경찰청,2024,2369,2542
"남부경찰청","경찰청소속",경찰서,-,-,-
"남부경찰청","경찰청소속",지구대파출소,-,-,-
"수원중부","합계",소계,619,623,636
"수원중부","경찰청소속",소계,619,623,636
"수원중부","경찰청소속",지방경찰청,-,-,-
"수원중부","경찰청소속",경찰서,291,292,304
"수원중부","경찰청소속",지구대파출소,328,331,332
"수원남부","합계",소계,748,751,769
"수원남부","경찰청소속",소계,748,751,769
"수원남부","경찰청소속",지방경찰청,-,-,-
"수원남부","경찰청소속",경찰서,360,360,377
"수원남부","경찰청소속",지구대파출소,388,391,392
"수원서부","합계",소계,495,504,516
"수원서부","경찰청소속",소계,495,504,516
"수원서부","경찰청소속",지방경찰청,-,-,-
"수원서부","경찰청소속",경찰서,241,248,258
"수원서부","경찰청소속",지구대파출소,254,256,258
"용인동부","합계",소계,679,682,704
"용인동부","경찰청소속",소계,679,682,704
"용인동부","경찰청소속",지방경찰청,-,-,-
"용인동부","경찰청소속",경찰서,334,330,341
"용인동부","경찰청소속",지구대파출소,345,352,363
"용인서부","합계",소계,370,380,390
"용인서부","경찰청소속",소계,370,380,390
"용인서부","경찰청소속",지방경찰청,-,-,-
"용인서부","경찰청소속",경찰서,192,194,200
"용인서부","경찰청소속",지구대파출소,178,186,190
"고양","합계",소계,545,560,569
"고양","경찰청소속",소계,545,560,569
"고양","경찰청소속",지방경찰청,-,-,-
"고양","경찰청소속",경찰서,268,269,264
"고양","경찰청소속",지구대파출소,277,291,305
"일산동부","합계",소계,481,479,476
"일산동부","경찰청소속",소계,481,479,476
"일산동부","경찰청소속",지방경찰청,-,-,-
"일산동부","경찰청소속",경찰서,271,266,262
"일산동부","경찰청소속",지구대파출소,210,213,214
"일산서부","합계",소계,367,373,372
"일산서부","경찰청소속",소계,367,373,372
"일산서부","경찰청소속",지방경찰청,-,-,-
"일산서부","경찰청소속",경찰서,196,199,197
"일산서부","경찰청소속",지구대파출소,171,174,175
