"행정구역별(1)","범죄별(1)",2018,2019,2020,2021
"행정구역별(1)","범죄별(1)",발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건)
"전국","총범죄",1580751,1611906,1587866,1429826
"전국","강력범죄 소계",26787,26476,24332,22476
"전국","절도범죄",176809,186957,179517,166409
"전국","폭력범죄",287611,287913,265768,232661
"서울특별시","총범죄",308997,309269,296178,257969
"서울특별시","강력범죄 소계",6991,6993,6265,5344
"서울특별시","절도범죄",39175,42204,38293,33531
"서울특별시","폭력범죄",56122,54762,48422,41834
"경기도","총범죄",388938,394276,394226,357243
"경기도","강력범죄 소계",5828,5780,5518,5105
"경기도","절도범죄",41111,41955,40797,37367
"경기도","폭력범죄",72672,73825,68089,59885
