"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,남자,남자,남자,여자,여자,여자,계,남자,남자,남자,여자,여자,여자,계,남자,남자,남자,여자,여자,여자,계,남자,남자,남자,여자,여자,여자
"죄종별(1)",죄종별(2),계,계,정상,주취,계,정상,주취,계,계,정상,주취,계,정상,주취,계,계,정상,주취,계,정상,주취,계,계,정상,주취,계,정상,주취
"계",소계,1581922,1257998,564104,290633,323924,166025,34451,1585638,1245049,584685,252112,340589,177614,31226,1494421,1174763,555432,229101,319658,161933,28598,1247680,974530,495564,194477,273150,151294,25768
"강력범죄",소계,28302,27114,11712,9111,1188,537,260,28943,27626,12007,9063,1317,555,268,26971,25628,11016,8119,1343,551,255,22992,21907,10046,6582,1085,461,186
"강력범죄",살인기수,350,283,136,66,67,35,8,345,265,117,65,80,39,10,341,256,112,63,85,44,9,307,227,106,50,80,38,10
"강력범죄",살인미수등,516,435,165,202,81,33,23,525,456,160,207,69,27,13,454,376,151,149,78,30,13,409,346,133,148,63,32,8
"강력범죄",강도,1165,1033,725,172,132,101,10,1336,1172,941,107,164,134,4,1202,1026,777,110,176,124,7,748,649,483,77,99,76,4
"강력범죄",강간,5947,5858,2313,1473,89,44,14,6138,6042,2338,1576,96,40,6,6113,6010,2369,1448,103,52,9,5593,5515,2372,1278,78,36,9
"강력범죄",유사강간,848,827,389,271,21,5,6,895,870,401,267,25,12,1,934,891,404,260,43,21,9,834,812,362,253,22,8,2
"강력범죄",강제추행,17631,17068,7304,6272,563,229,123,17892,17234,7339,6277,658,215,168,16382,15727,6608,5630,655,201,150,13882,13312,6120,4397,570,200,112
"강력범죄",기타 강간·강제추행등,458,449,230,137,9,4,2,495,482,271,143,13,7,3,349,335,189,89,14,6,1,271,266,143,76,5,3,1
"절도범죄",소계,97334,73234,57610,7422,24100,19596,1064,101295,74979,59199,7132,26316,21464,1094,98425,72665,57862,6098,25760,20924,993,85687,61198,49863,4196,24489,20417,670
"폭력범죄",소계,348969,289802,97722,90292,59167,24757,11584,346561,284633,99475,86518,61928,25944,12209,313990,258549,93439,77424,55441,23556,10548,264229,215656,90518,62702,48573,23406,9261
"폭력범죄",상해,52867,44384,20526,19819,8483,4920,2231,48854,40652,18703,18051,8202,4667,2288,43552,36148,16832,15741,7404,4143,1997,35588,29656,14813,12190,5932,3462,1605
"폭력범죄",폭행,204801,168982,45231,42541,35819,12054,6129,202710,164947,47095,40912,37763,13203,6593,178448,145426,43454,35943,33022,11911,5668,145634,117010,43845,29091,28624,12524,5031
"폭력범죄",폭력행위등,31885,25172,11272,9290,6713,3931,1614,28625,22203,10083,8008,6422,3558,1489,25342,19982,9261,6941,5360,2947,1206,20526,16048,8098,4916,4478,2676,892
